"Vaccine","Day","Median","Measurement_type","Cell_Type","Unit"
"TMd21",14,30.7,"PD-1+ CXCR5+ BCL6+ TFH (% tetramer)","CD4","percentage"
"TMd21",28,17.35,"PD-1+ CXCR5+ BCL6+ TFH (% tetramer)","CD4","percentage"
"TMd21",60,10.415,"PD-1+ CXCR5+ BCL6+ TFH (% tetramer)","CD4","percentage"
"IC",8,0.075,"Tetramer+  (% CD4)","CD4","percentage"
"IC",14,0.0215,"Tetramer+  (% CD4)","CD4","percentage"
"IC",28,0.0074,"Tetramer+  (% CD4)","CD4","percentage"
"IC",60,0.012,"Tetramer+  (% CD4)","CD4","percentage"
"SOL",8,0.47,"Tetramer+  (% CD4)","CD4","percentage"
"SOL",14,0.0625,"Tetramer+  (% CD4)","CD4","percentage"
"SOL",28,0.0255,"Tetramer+  (% CD4)","CD4","percentage"
"SOL",60,0.0245,"Tetramer+  (% CD4)","CD4","percentage"
"TM",8,0.92,"Tetramer+  (% CD4)","CD4","percentage"
"TM",14,0.13,"Tetramer+  (% CD4)","CD4","percentage"
"TM",28,0.0595,"Tetramer+  (% CD4)","CD4","percentage"
"TM",60,0.0275,"Tetramer+  (% CD4)","CD4","percentage"
"TMd21",8,0.465,"Tetramer+  (% CD4)","CD4","percentage"
"TMd21",14,0.083,"Tetramer+  (% CD4)","CD4","percentage"
"TMd21",28,0.051,"Tetramer+  (% CD4)","CD4","percentage"
"TMd21",60,0.0235,"Tetramer+  (% CD4)","CD4","percentage"
"IC",8,1713631.3974662,"Total cells in sample","CD4","number"
"IC",14,2679643.66454099,"Total cells in sample","CD4","number"
"IC",28,6568411.72143804,"Total cells in sample","CD4","number"
"IC",60,2057432.49719885,"Total cells in sample","CD4","number"
"SOL",8,2685644.41873842,"Total cells in sample","CD4","number"
"SOL",14,2470556.34146875,"Total cells in sample","CD4","number"
"SOL",28,7152930.51263704,"Total cells in sample","CD4","number"
"SOL",60,1921790.86146347,"Total cells in sample","CD4","number"
"TM",8,4338254.52087206,"Total cells in sample","CD4","number"
"TM",14,2840646.471377,"Total cells in sample","CD4","number"
"TM",28,5438569.02732883,"Total cells in sample","CD4","number"
"TM",60,1770292.87152638,"Total cells in sample","CD4","number"
"TMd21",8,3560861.19631902,"Total cells in sample","CD4","number"
"TMd21",14,2600950.98670478,"Total cells in sample","CD4","number"
"TMd21",28,6081271.52746991,"Total cells in sample","CD4","number"
"TMd21",60,1929644.98337671,"Total cells in sample","CD4","number"
"IC",8,5.575,"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","percentage"
"IC",14,10.425,"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","percentage"
"IC",28,16.1,"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","percentage"
"IC",60,27.55,"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","percentage"
"SOL",8,14.65,"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","percentage"
"SOL",14,23.1,"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","percentage"
"SOL",28,30.55,"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","percentage"
"SOL",60,38.25,"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","percentage"
"TM",8,8.885,"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","percentage"
"TM",14,16,"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","percentage"
"TM",28,14.2,"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","percentage"
"TM",60,26.25,"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","percentage"
"TMd21",8,8.575,"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","percentage"
"TMd21",14,10.29,"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","percentage"
"TMd21",28,22.1,"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","percentage"
"TMd21",60,40.1,"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","percentage"
"IC",8,8.265,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","percentage"
"IC",14,8.92,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","percentage"
"IC",28,16.6,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","percentage"
"IC",60,20.7,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","percentage"
"SOL",8,12.7,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","percentage"
"SOL",14,21.3,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","percentage"
"SOL",28,33.35,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","percentage"
"SOL",60,32.2,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","percentage"
"TM",8,8.64,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","percentage"
"TM",14,10.1,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","percentage"
"TM",28,17.15,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","percentage"
"TM",60,25,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","percentage"
"TMd21",8,8.75,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","percentage"
"TMd21",14,9.455,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","percentage"
"TMd21",28,23.95,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","percentage"
"TMd21",60,38.55,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","percentage"
"IC",8,98,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","percentage"
"IC",14,90.6,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","percentage"
"IC",28,98.25,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","percentage"
"IC",60,97.7,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","percentage"
"SOL",8,98,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","percentage"
"SOL",14,93.6,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","percentage"
"SOL",28,96.8,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","percentage"
"SOL",60,98.6,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","percentage"
"TM",8,97,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","percentage"
"TM",14,87.9,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","percentage"
"TM",28,97.85,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","percentage"
"TM",60,97.75,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","percentage"
"TMd21",8,97,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","percentage"
"TMd21",14,85.15,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","percentage"
"TMd21",28,100,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","percentage"
"TMd21",60,95.85,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","percentage"
"IC",60,28.2,"CD127+ KLRG1- TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","percentage"
"SOL",60,46.05,"CD127+ KLRG1- TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","percentage"
"TM",60,20.5,"CD127+ KLRG1- TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","percentage"
"TMd21",60,38.25,"CD127+ KLRG1- TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","percentage"
"IC",8,39.6,"CD127+ KLRG1- TCF1+ SLAMF6+ Tsl (% tetramer)","CD8","percentage"
"IC",28,14.15,"CD127+ KLRG1- TCF1+ SLAMF6+ Tsl (% tetramer)","CD8","percentage"
"SOL",8,55.7,"CD127+ KLRG1- TCF1+ SLAMF6+ Tsl (% tetramer)","CD8","percentage"
"SOL",28,23.6,"CD127+ KLRG1- TCF1+ SLAMF6+ Tsl (% tetramer)","CD8","percentage"
"TM",8,39.55,"CD127+ KLRG1- TCF1+ SLAMF6+ Tsl (% tetramer)","CD8","percentage"
"TM",28,9.82,"CD127+ KLRG1- TCF1+ SLAMF6+ Tsl (% tetramer)","CD8","percentage"
"TMd21",8,43.35,"CD127+ KLRG1- TCF1+ SLAMF6+ Tsl (% tetramer)","CD8","percentage"
"TMd21",28,12.7,"CD127+ KLRG1- TCF1+ SLAMF6+ Tsl (% tetramer)","CD8","percentage"
"IC",8,49.95,"CD127+ KLRG1- memory (% tetramer)","CD8","percentage"
"IC",14,77.65,"CD127+ KLRG1- memory (% tetramer)","CD8","percentage"
"IC",28,89,"CD127+ KLRG1- memory (% tetramer)","CD8","percentage"
"IC",60,94.7,"CD127+ KLRG1- memory (% tetramer)","CD8","percentage"
"SOL",8,46.1,"CD127+ KLRG1- memory (% tetramer)","CD8","percentage"
"SOL",14,70.4,"CD127+ KLRG1- memory (% tetramer)","CD8","percentage"
"SOL",28,86.3,"CD127+ KLRG1- memory (% tetramer)","CD8","percentage"
"SOL",60,93.95,"CD127+ KLRG1- memory (% tetramer)","CD8","percentage"
"TM",8,35.9,"CD127+ KLRG1- memory (% tetramer)","CD8","percentage"
"TM",14,66.9,"CD127+ KLRG1- memory (% tetramer)","CD8","percentage"
"TM",28,82.35,"CD127+ KLRG1- memory (% tetramer)","CD8","percentage"
"TM",60,93.8,"CD127+ KLRG1- memory (% tetramer)","CD8","percentage"
"TMd21",8,47.1,"CD127+ KLRG1- memory (% tetramer)","CD8","percentage"
"TMd21",14,66.6,"CD127+ KLRG1- memory (% tetramer)","CD8","percentage"
"TMd21",28,82.35,"CD127+ KLRG1- memory (% tetramer)","CD8","percentage"
"TMd21",60,91.5,"CD127+ KLRG1- memory (% tetramer)","CD8","percentage"
"IC",8,5.18,"CD127+ PD-1+ CXCR5+ KLRG1- TFH like (% tetramer)","CD8","percentage"
"IC",60,4.32,"CD127+ PD-1+ CXCR5+ KLRG1- TFH like (% tetramer)","CD8","percentage"
"SOL",8,10.13,"CD127+ PD-1+ CXCR5+ KLRG1- TFH like (% tetramer)","CD8","percentage"
"SOL",60,5.66,"CD127+ PD-1+ CXCR5+ KLRG1- TFH like (% tetramer)","CD8","percentage"
"TM",8,5.785,"CD127+ PD-1+ CXCR5+ KLRG1- TFH like (% tetramer)","CD8","percentage"
"TM",60,1.495,"CD127+ PD-1+ CXCR5+ KLRG1- TFH like (% tetramer)","CD8","percentage"
"TMd21",8,5.125,"CD127+ PD-1+ CXCR5+ KLRG1- TFH like (% tetramer)","CD8","percentage"
"TMd21",60,1.725,"CD127+ PD-1+ CXCR5+ KLRG1- TFH like (% tetramer)","CD8","percentage"
"IC",14,1.82,"CD127+ PD-1+ CXCR5+ Tfh like (% tetramer)","CD8","percentage"
"SOL",14,4.24,"CD127+ PD-1+ CXCR5+ Tfh like (% tetramer)","CD8","percentage"
"TM",14,2.185,"CD127+ PD-1+ CXCR5+ Tfh like (% tetramer)","CD8","percentage"
"TMd21",14,1.385,"CD127+ PD-1+ CXCR5+ Tfh like (% tetramer)","CD8","percentage"
"IC",8,2.52,"CD127+ TCF1+ SLAMF6+ CD62L+ Tscm (% tetramer)","CD8","percentage"
"SOL",8,14.35,"CD127+ TCF1+ SLAMF6+ CD62L+ Tscm (% tetramer)","CD8","percentage"
"TM",8,6.48,"CD127+ TCF1+ SLAMF6+ CD62L+ Tscm (% tetramer)","CD8","percentage"
"TMd21",8,6.25,"CD127+ TCF1+ SLAMF6+ CD62L+ Tscm (% tetramer)","CD8","percentage"
"IC",14,9.9,"CD62L+ CX3CR1 TCM ( % of tetramer)","CD8","percentage"
"SOL",14,23.05,"CD62L+ CX3CR1 TCM ( % of tetramer)","CD8","percentage"
"TM",14,10.55,"CD62L+ CX3CR1 TCM ( % of tetramer)","CD8","percentage"
"TMd21",14,11.65,"CD62L+ CX3CR1 TCM ( % of tetramer)","CD8","percentage"
"IC",8,13.5,"CD62L+ CX3CR1- TCM (% memory)","CD8","percentage"
"IC",14,13.35,"CD62L+ CX3CR1- TCM (% memory)","CD8","percentage"
"IC",28,17.85,"CD62L+ CX3CR1- TCM (% memory)","CD8","percentage"
"IC",60,28.85,"CD62L+ CX3CR1- TCM (% memory)","CD8","percentage"
"SOL",8,26.7,"CD62L+ CX3CR1- TCM (% memory)","CD8","percentage"
"SOL",14,32.4,"CD62L+ CX3CR1- TCM (% memory)","CD8","percentage"
"SOL",28,36.35,"CD62L+ CX3CR1- TCM (% memory)","CD8","percentage"
"SOL",60,42.5,"CD62L+ CX3CR1- TCM (% memory)","CD8","percentage"
"TM",8,24.8,"CD62L+ CX3CR1- TCM (% memory)","CD8","percentage"
"TM",14,22.5,"CD62L+ CX3CR1- TCM (% memory)","CD8","percentage"
"TM",28,15.5,"CD62L+ CX3CR1- TCM (% memory)","CD8","percentage"
"TM",60,29.1,"CD62L+ CX3CR1- TCM (% memory)","CD8","percentage"
"TMd21",8,20.05,"CD62L+ CX3CR1- TCM (% memory)","CD8","percentage"
"TMd21",14,18.8,"CD62L+ CX3CR1- TCM (% memory)","CD8","percentage"
"TMd21",28,29.4,"CD62L+ CX3CR1- TCM (% memory)","CD8","percentage"
"TMd21",60,44.75,"CD62L+ CX3CR1- TCM (% memory)","CD8","percentage"
"IC",14,12.65,"CD62L+ CX3CR1- TCM (% of memory)","CD8","percentage"
"SOL",14,32.9,"CD62L+ CX3CR1- TCM (% of memory)","CD8","percentage"
"TM",14,18.95,"CD62L+ CX3CR1- TCM (% of memory)","CD8","percentage"
"TMd21",14,19.85,"CD62L+ CX3CR1- TCM (% of memory)","CD8","percentage"
"IC",8,8.525,"CD62L- CX3CR1hi TEM (% memory)","CD8","percentage"
"IC",14,12.8,"CD62L- CX3CR1hi TEM (% memory)","CD8","percentage"
"IC",28,19.55,"CD62L- CX3CR1hi TEM (% memory)","CD8","percentage"
"IC",60,18.25,"CD62L- CX3CR1hi TEM (% memory)","CD8","percentage"
"SOL",8,4.195,"CD62L- CX3CR1hi TEM (% memory)","CD8","percentage"
"SOL",14,5.655,"CD62L- CX3CR1hi TEM (% memory)","CD8","percentage"
"SOL",28,8.8,"CD62L- CX3CR1hi TEM (% memory)","CD8","percentage"
"SOL",60,10.17,"CD62L- CX3CR1hi TEM (% memory)","CD8","percentage"
"TM",8,7.175,"CD62L- CX3CR1hi TEM (% memory)","CD8","percentage"
"TM",14,13.7,"CD62L- CX3CR1hi TEM (% memory)","CD8","percentage"
"TM",28,19.4,"CD62L- CX3CR1hi TEM (% memory)","CD8","percentage"
"TM",60,20.1,"CD62L- CX3CR1hi TEM (% memory)","CD8","percentage"
"TMd21",8,6.135,"CD62L- CX3CR1hi TEM (% memory)","CD8","percentage"
"TMd21",14,11.15,"CD62L- CX3CR1hi TEM (% memory)","CD8","percentage"
"TMd21",28,14.8,"CD62L- CX3CR1hi TEM (% memory)","CD8","percentage"
"TMd21",60,12.75,"CD62L- CX3CR1hi TEM (% memory)","CD8","percentage"
"IC",8,4.055,"CD62L- CX3CR1hi TEM (% tetramer)","CD8","percentage"
"IC",14,9.69,"CD62L- CX3CR1hi TEM (% tetramer)","CD8","percentage"
"IC",28,17,"CD62L- CX3CR1hi TEM (% tetramer)","CD8","percentage"
"IC",60,17.7,"CD62L- CX3CR1hi TEM (% tetramer)","CD8","percentage"
"SOL",8,1.79,"CD62L- CX3CR1hi TEM (% tetramer)","CD8","percentage"
"SOL",14,3.875,"CD62L- CX3CR1hi TEM (% tetramer)","CD8","percentage"
"SOL",28,7.69,"CD62L- CX3CR1hi TEM (% tetramer)","CD8","percentage"
"SOL",60,9.775,"CD62L- CX3CR1hi TEM (% tetramer)","CD8","percentage"
"TM",8,2.49,"CD62L- CX3CR1hi TEM (% tetramer)","CD8","percentage"
"TM",14,8.09,"CD62L- CX3CR1hi TEM (% tetramer)","CD8","percentage"
"TM",28,16.4,"CD62L- CX3CR1hi TEM (% tetramer)","CD8","percentage"
"TM",60,17.75,"CD62L- CX3CR1hi TEM (% tetramer)","CD8","percentage"
"TMd21",8,2.915,"CD62L- CX3CR1hi TEM (% tetramer)","CD8","percentage"
"TMd21",14,7.11,"CD62L- CX3CR1hi TEM (% tetramer)","CD8","percentage"
"TMd21",28,12.55,"CD62L- CX3CR1hi TEM (% tetramer)","CD8","percentage"
"TMd21",60,11.5,"CD62L- CX3CR1hi TEM (% tetramer)","CD8","percentage"
"IC",14,29.2,"CD8 (% live lymphocytes)","CD8","percentage"
"SOL",14,29.95,"CD8 (% live lymphocytes)","CD8","percentage"
"TM",14,28.1,"CD8 (% live lymphocytes)","CD8","percentage"
"TMd21",14,28.7,"CD8 (% live lymphocytes)","CD8","percentage"
"IC",8,29.65,"CD8 T cells (% of live lymphocytes)","CD8","percentage"
"IC",14,25.85,"CD8 T cells (% of live lymphocytes)","CD8","percentage"
"IC",28,29.25,"CD8 T cells (% of live lymphocytes)","CD8","percentage"
"IC",60,25.2,"CD8 T cells (% of live lymphocytes)","CD8","percentage"
"SOL",8,25.7,"CD8 T cells (% of live lymphocytes)","CD8","percentage"
"SOL",14,25.4,"CD8 T cells (% of live lymphocytes)","CD8","percentage"
"SOL",28,29.7,"CD8 T cells (% of live lymphocytes)","CD8","percentage"
"SOL",60,27.1,"CD8 T cells (% of live lymphocytes)","CD8","percentage"
"TM",8,24.45,"CD8 T cells (% of live lymphocytes)","CD8","percentage"
"TM",14,21.1,"CD8 T cells (% of live lymphocytes)","CD8","percentage"
"TM",28,24.65,"CD8 T cells (% of live lymphocytes)","CD8","percentage"
"TM",60,27.7,"CD8 T cells (% of live lymphocytes)","CD8","percentage"
"TMd21",8,25.6,"CD8 T cells (% of live lymphocytes)","CD8","percentage"
"TMd21",14,24.55,"CD8 T cells (% of live lymphocytes)","CD8","percentage"
"TMd21",28,27.5,"CD8 T cells (% of live lymphocytes)","CD8","percentage"
"TMd21",60,25.3,"CD8 T cells (% of live lymphocytes)","CD8","percentage"
"IC",8,79.657675018423,"Cell/bead ratio","CD8","number"
"IC",14,102.175617814389,"Cell/bead ratio","CD8","number"
"IC",28,59.4783459542245,"Cell/bead ratio","CD8","number"
"IC",60,58.4334772586849,"Cell/bead ratio","CD8","number"
"SOL",8,120.579360561056,"Cell/bead ratio","CD8","number"
"SOL",14,100.275650920681,"Cell/bead ratio","CD8","number"
"SOL",28,48.3680082138773,"Cell/bead ratio","CD8","number"
"SOL",60,52.5733220091506,"Cell/bead ratio","CD8","number"
"TM",8,119.135557416937,"Cell/bead ratio","CD8","number"
"TM",14,136.914708442124,"Cell/bead ratio","CD8","number"
"TM",28,49.7453089347679,"Cell/bead ratio","CD8","number"
"TM",60,37.0790292818042,"Cell/bead ratio","CD8","number"
"TMd21",8,101.592274290378,"Cell/bead ratio","CD8","number"
"TMd21",14,131.232934338023,"Cell/bead ratio","CD8","number"
"TMd21",28,42.8957626457627,"Cell/bead ratio","CD8","number"
"TMd21",60,38.7977154916303,"Cell/bead ratio","CD8","number"
"IC",8,3850747.85665761,"Cells in total sample vol","CD8","number"
"IC",14,4477487.53465565,"Cells in total sample vol","CD8","number"
"IC",28,3568700.75725347,"Cells in total sample vol","CD8","number"
"IC",60,3506008.6355211,"Cells in total sample vol","CD8","number"
"SOL",8,5440226.99547134,"Cells in total sample vol","CD8","number"
"SOL",14,4225448.75937278,"Cells in total sample vol","CD8","number"
"SOL",28,2902080.49283264,"Cells in total sample vol","CD8","number"
"SOL",60,3154399.32054903,"Cells in total sample vol","CD8","number"
"TM",8,5499506.67586034,"Cells in total sample vol","CD8","number"
"TM",14,6054012.67605634,"Cells in total sample vol","CD8","number"
"TM",28,2984718.53608608,"Cells in total sample vol","CD8","number"
"TM",60,2224741.75690825,"Cells in total sample vol","CD8","number"
"TMd21",8,4442217.75915871,"Cells in total sample vol","CD8","number"
"TMd21",14,5566728.18681318,"Cells in total sample vol","CD8","number"
"TMd21",28,2573745.75874576,"Cells in total sample vol","CD8","number"
"TMd21",60,2327862.92949782,"Cells in total sample vol","CD8","number"
"IC",8,40354.6927729231,"Cells/µL","CD8","number"
"IC",14,42934.2492284886,"Cells/µL","CD8","number"
"IC",28,35687.0075725347,"Cells/µL","CD8","number"
"IC",60,35060.086355211,"Cells/µL","CD8","number"
"SOL",8,59675.7606977425,"Cells/µL","CD8","number"
"SOL",14,38413.1705397526,"Cells/µL","CD8","number"
"SOL",28,29020.8049283264,"Cells/µL","CD8","number"
"SOL",60,31543.9932054904,"Cells/µL","CD8","number"
"TM",8,63605.0550352398,"Cells/µL","CD8","number"
"TM",14,55036.4788732394,"Cells/µL","CD8","number"
"TM",28,29847.1853608608,"Cells/µL","CD8","number"
"TM",60,22247.4175690825,"Cells/µL","CD8","number"
"TMd21",8,46662.0541586074,"Cells/µL","CD8","number"
"TMd21",14,52591.851075366,"Cells/µL","CD8","number"
"TMd21",28,25737.4575874575,"Cells/µL","CD8","number"
"TMd21",60,23278.6292949782,"Cells/µL","CD8","number"
"IC",8,0.995,"KLRG1+ CD127- effector (% tetramer)","CD8","percentage"
"IC",14,0.615,"KLRG1+ CD127- effector (% tetramer)","CD8","percentage"
"IC",28,0.995,"KLRG1+ CD127- effector (% tetramer)","CD8","percentage"
"IC",60,0,"KLRG1+ CD127- effector (% tetramer)","CD8","percentage"
"SOL",8,1.255,"KLRG1+ CD127- effector (% tetramer)","CD8","percentage"
"SOL",14,1.79,"KLRG1+ CD127- effector (% tetramer)","CD8","percentage"
"SOL",28,0.39,"KLRG1+ CD127- effector (% tetramer)","CD8","percentage"
"SOL",60,0,"KLRG1+ CD127- effector (% tetramer)","CD8","percentage"
"TM",8,5.01,"KLRG1+ CD127- effector (% tetramer)","CD8","percentage"
"TM",14,3.53,"KLRG1+ CD127- effector (% tetramer)","CD8","percentage"
"TM",28,3.275,"KLRG1+ CD127- effector (% tetramer)","CD8","percentage"
"TM",60,0,"KLRG1+ CD127- effector (% tetramer)","CD8","percentage"
"TMd21",8,2.775,"KLRG1+ CD127- effector (% tetramer)","CD8","percentage"
"TMd21",14,2.995,"KLRG1+ CD127- effector (% tetramer)","CD8","percentage"
"TMd21",28,0.905,"KLRG1+ CD127- effector (% tetramer)","CD8","percentage"
"TMd21",60,0,"KLRG1+ CD127- effector (% tetramer)","CD8","percentage"
"IC",8,212.74404020377,"Number CD127+ CD62L+ CX3CR1-KLRG1- TCM","CD8","number"
"IC",14,73.4309307471848,"Number CD127+ CD62L+ CX3CR1-KLRG1- TCM","CD8","number"
"IC",28,60.3438064301386,"Number CD127+ CD62L+ CX3CR1-KLRG1- TCM","CD8","number"
"IC",60,53.7114976183399,"Number CD127+ CD62L+ CX3CR1-KLRG1- TCM","CD8","number"
"SOL",8,305.095223388377,"Number CD127+ CD62L+ CX3CR1-KLRG1- TCM","CD8","number"
"SOL",14,102.687289720996,"Number CD127+ CD62L+ CX3CR1-KLRG1- TCM","CD8","number"
"SOL",28,46.1379114857494,"Number CD127+ CD62L+ CX3CR1-KLRG1- TCM","CD8","number"
"SOL",60,44.8108507564873,"Number CD127+ CD62L+ CX3CR1-KLRG1- TCM","CD8","number"
"TM",8,309.322812980459,"Number CD127+ CD62L+ CX3CR1-KLRG1- TCM","CD8","number"
"TM",14,95.6403638666666,"Number CD127+ CD62L+ CX3CR1-KLRG1- TCM","CD8","number"
"TM",28,41.6929173353372,"Number CD127+ CD62L+ CX3CR1-KLRG1- TCM","CD8","number"
"TM",60,41.7135392790657,"Number CD127+ CD62L+ CX3CR1-KLRG1- TCM","CD8","number"
"TMd21",8,169.649104239929,"Number CD127+ CD62L+ CX3CR1-KLRG1- TCM","CD8","number"
"TMd21",14,52.9248114645211,"Number CD127+ CD62L+ CX3CR1-KLRG1- TCM","CD8","number"
"TMd21",28,46.8276221950208,"Number CD127+ CD62L+ CX3CR1-KLRG1- TCM","CD8","number"
"TMd21",60,33.6974143245682,"Number CD127+ CD62L+ CX3CR1-KLRG1- TCM","CD8","number"
"IC",8,192.853737874897,"Number CD62L- CX3CR1hi TEM","CD8","number"
"IC",14,88.1858501749694,"Number CD62L- CX3CR1hi TEM","CD8","number"
"IC",28,60.4101472588046,"Number CD62L- CX3CR1hi TEM","CD8","number"
"IC",60,43.5695075384733,"Number CD62L- CX3CR1hi TEM","CD8","number"
"SOL",8,67.5469079333971,"Number CD62L- CX3CR1hi TEM","CD8","number"
"SOL",14,26.6850146658475,"Number CD62L- CX3CR1hi TEM","CD8","number"
"SOL",28,12.0360017331103,"Number CD62L- CX3CR1hi TEM","CD8","number"
"SOL",60,10.8023705027048,"Number CD62L- CX3CR1hi TEM","CD8","number"
"TM",8,80.4475817474476,"Number CD62L- CX3CR1hi TEM","CD8","number"
"TM",14,147.34508888778,"Number CD62L- CX3CR1hi TEM","CD8","number"
"TM",28,41.3311562333727,"Number CD62L- CX3CR1hi TEM","CD8","number"
"TM",60,24.6759096372984,"Number CD62L- CX3CR1hi TEM","CD8","number"
"TMd21",8,63.870927188838,"Number CD62L- CX3CR1hi TEM","CD8","number"
"TMd21",14,72.4988360426166,"Number CD62L- CX3CR1hi TEM","CD8","number"
"TMd21",28,21.4510480184986,"Number CD62L- CX3CR1hi TEM","CD8","number"
"TMd21",60,13.3022715517241,"Number CD62L- CX3CR1hi TEM","CD8","number"
"IC",8,334.23202087533,"Number of CD127+ KLRG1- TCF1+ SLAMF6+ Tscm","CD8","number"
"IC",14,120.542550102367,"Number of CD127+ KLRG1- TCF1+ SLAMF6+ Tscm","CD8","number"
"IC",28,96.7039508911803,"Number of CD127+ KLRG1- TCF1+ SLAMF6+ Tscm","CD8","number"
"IC",60,70.6954428066568,"Number of CD127+ KLRG1- TCF1+ SLAMF6+ Tscm","CD8","number"
"SOL",8,414.071331534258,"Number of CD127+ KLRG1- TCF1+ SLAMF6+ Tscm","CD8","number"
"SOL",14,138.386665126706,"Number of CD127+ KLRG1- TCF1+ SLAMF6+ Tscm","CD8","number"
"SOL",28,78.4893449905749,"Number of CD127+ KLRG1- TCF1+ SLAMF6+ Tscm","CD8","number"
"SOL",60,54.312802988285,"Number of CD127+ KLRG1- TCF1+ SLAMF6+ Tscm","CD8","number"
"TM",8,508.556107567624,"Number of CD127+ KLRG1- TCF1+ SLAMF6+ Tscm","CD8","number"
"TM",14,193.219323948718,"Number of CD127+ KLRG1- TCF1+ SLAMF6+ Tscm","CD8","number"
"TM",28,54.1662442654185,"Number of CD127+ KLRG1- TCF1+ SLAMF6+ Tscm","CD8","number"
"TM",60,73.6322062806326,"Number of CD127+ KLRG1- TCF1+ SLAMF6+ Tscm","CD8","number"
