"Vaccine","Day","Median","Measurement_type","Cell_Type","Unit"
"SOL",60,50.8,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage"
"TM",8,81.45,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage"
"TM",14,74.75,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage"
"TM",28,32.1,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage"
"TM",60,55.75,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage"
"TMd21",8,64.2,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage"
"TMd21",14,54.7,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage"
"TMd21",28,36.65,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage"
"TMd21",60,22.2,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage"
"IC",8,2.265,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage"
"IC",14,1.355,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage"
"IC",28,0,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage"
"IC",60,1.065,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage"
"SOL",8,3.38,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage"
"SOL",14,4.485,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage"
"SOL",28,1.14,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage"
"SOL",60,5.12,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage"
"TM",8,2.085,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage"
"TM",14,3.06,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage"
"TM",28,2.815,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage"
"TM",60,4.055,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage"
"TMd21",8,2.41,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage"
"TMd21",14,1.73,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage"
"TMd21",28,2.925,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage"
"TMd21",60,1.495,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage"
"IC",8,5,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage"
"IC",14,0,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage"
"IC",28,0,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage"
"IC",60,0,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage"
"SOL",8,0,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage"
"SOL",14,0,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage"
"SOL",28,0,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage"
"SOL",60,0,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage"
"TM",8,0.405,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage"
"TM",14,0,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage"
"TM",28,0,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage"
"TM",60,0,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage"
"TMd21",8,1.34,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage"
"TMd21",14,0,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage"
"TMd21",28,3.335,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage"
