"Vaccine","Day","Median","Measurement_type","Cell_Type","Unit","baseline_Day","baseline_Median","Normalized"
"TM",60,8.98600541632761,"Number of TFH cells","CD4","number",8,5685.44976756387,0.00158052674523549
"TMd21",8,2017.85910087347,"Number of TFH cells","CD4","number",8,2017.85910087347,1
"TMd21",14,303.795920240157,"Number of TFH cells","CD4","number",8,2017.85910087347,0.150553584295679
"TMd21",28,210.780935336306,"Number of TFH cells","CD4","number",8,2017.85910087347,0.104457707302292
"TMd21",60,14.9530892690683,"Number of TFH cells","CD4","number",8,2017.85910087347,0.00741037333211006
"IC",8,7.40474183136815,"Number of Th1 cells","CD4","number",8,7.40474183136815,1
"IC",14,2.38978130863696,"Number of Th1 cells","CD4","number",8,7.40474183136815,0.322736614329119
"IC",28,7.90028464338537,"Number of Th1 cells","CD4","number",8,7.40474183136815,1.06692236181929
"IC",60,2.8237485242011,"Number of Th1 cells","CD4","number",8,7.40474183136815,0.381343278200337
"SOL",8,94.5790563449223,"Number of Th1 cells","CD4","number",8,94.5790563449223,1
"SOL",14,24.8006065569231,"Number of Th1 cells","CD4","number",8,94.5790563449223,0.262220913544297
"SOL",28,15.3719461473225,"Number of Th1 cells","CD4","number",8,94.5790563449223,0.162530128142347
"SOL",60,7.7845005272939,"Number of Th1 cells","CD4","number",8,94.5790563449223,0.0823068111285066
"TM",8,262.744122602797,"Number of Th1 cells","CD4","number",8,262.744122602797,1
"TM",14,31.0768718612027,"Number of Th1 cells","CD4","number",8,262.744122602797,0.118278085741172
"TM",28,44.7005359197617,"Number of Th1 cells","CD4","number",8,262.744122602797,0.170129536969083
"TM",60,8.3441625665478,"Number of Th1 cells","CD4","number",8,262.744122602797,0.031757751548879
"TMd21",8,103.8847582892,"Number of Th1 cells","CD4","number",8,103.8847582892,1
"TMd21",14,15.0383359304866,"Number of Th1 cells","CD4","number",8,103.8847582892,0.144759791312428
"TMd21",28,36.5423616565038,"Number of Th1 cells","CD4","number",8,103.8847582892,0.351758643503555
"TMd21",60,4.22306068583851,"Number of Th1 cells","CD4","number",8,103.8847582892,0.0406513982935025
"IC",8,2.23105642886598,"Number of Th17","CD4","number",8,2.23105642886598,1
"IC",14,4.15819706029412,"Number of Th17","CD4","number",8,2.23105642886598,1.86377942148585
"IC",60,2.16690345180842,"Number of Th17","CD4","number",8,2.23105642886598,0.971245470877593
"SOL",8,2.80557670044834,"Number of Th17","CD4","number",8,2.80557670044834,1
"SOL",14,3.16947383209696,"Number of Th17","CD4","number",8,2.80557670044834,1.12970493075112
"SOL",60,1.16445208290155,"Number of Th17","CD4","number",8,2.80557670044834,0.415049099429529
"TM",8,2.97154507958932,"Number of Th17","CD4","number",8,2.97154507958932,1
"TM",14,3.9728657352633,"Number of Th17","CD4","number",8,2.97154507958932,1.33696970056142
"TM",28,4.90777397338629,"Number of Th17","CD4","number",8,2.97154507958932,1.65158994460369
"TM",60,108.778517878517,"Number of Th17","CD4","number",8,2.97154507958932,36.6067197249286
"TMd21",8,3.0934105398773,"Number of Th17","CD4","number",8,3.0934105398773,1
"TMd21",14,2.26933729453319,"Number of Th17","CD4","number",8,3.0934105398773,0.733603660192869
"TMd21",28,6.81319808185039,"Number of Th17","CD4","number",8,3.0934105398773,2.20248751144445
"TMd21",60,3.80713095270051,"Number of Th17","CD4","number",8,3.0934105398773,1.23072282311792
"IC",8,11.7581190479731,"Number of Th2 cells","CD4","number",8,11.7581190479731,1
"IC",14,5.59382118020399,"Number of Th2 cells","CD4","number",8,11.7581190479731,0.475741158716053
"IC",28,20.8739618154709,"Number of Th2 cells","CD4","number",8,11.7581190479731,1.77528070011073
"IC",60,2.9356518453931,"Number of Th2 cells","CD4","number",8,11.7581190479731,0.249670192436023
"SOL",8,34.0439918161259,"Number of Th2 cells","CD4","number",8,34.0439918161259,1
"SOL",14,14.123352683834,"Number of Th2 cells","CD4","number",8,34.0439918161259,0.414855953441514
"SOL",28,51.7656862621582,"Number of Th2 cells","CD4","number",8,34.0439918161259,1.52055277600078
"SOL",60,12.2834987112025,"Number of Th2 cells","CD4","number",8,34.0439918161259,0.360812526848984
"TM",8,60.8077504200952,"Number of Th2 cells","CD4","number",8,60.8077504200952,1
"TM",14,12.2205316737775,"Number of Th2 cells","CD4","number",8,60.8077504200952,0.200969968291064
"TM",28,66.1632576083751,"Number of Th2 cells","CD4","number",8,60.8077504200952,1.0880727728173
"TM",60,4.62603243971223,"Number of Th2 cells","CD4","number",8,60.8077504200952,0.076076362104385
"TMd21",8,43.084826033543,"Number of Th2 cells","CD4","number",8,43.084826033543,1
"TMd21",14,14.3999580228825,"Number of Th2 cells","CD4","number",8,43.084826033543,0.334223422688806
"TMd21",28,41.3503212254931,"Number of Th2 cells","CD4","number",8,43.084826033543,0.959742095588376
"TMd21",60,8.59694448024517,"Number of Th2 cells","CD4","number",8,43.084826033543,0.199535318386853
"IC",8,386.19121242881,"Number of tetramer+ cells","CD4","number",8,386.19121242881,1
"IC",14,151.051611259364,"Number of tetramer+ cells","CD4","number",8,386.19121242881,0.391131663274728
"IC",28,154.609492921851,"Number of tetramer+ cells","CD4","number",8,386.19121242881,0.400344409572375
"IC",60,64.1589845869052,"Number of tetramer+ cells","CD4","number",8,386.19121242881,0.166132688994658
"SOL",8,3421.76450829958,"Number of tetramer+ cells","CD4","number",8,3421.76450829958,1
"SOL",14,497.108571012222,"Number of tetramer+ cells","CD4","number",8,3421.76450829958,0.145278428660556
"SOL",28,518.777779465393,"Number of tetramer+ cells","CD4","number",8,3421.76450829958,0.151611187212646
"SOL",60,182.659982500735,"Number of tetramer+ cells","CD4","number",8,3421.76450829958,0.0533818098988661
"TM",8,10808.7379409567,"Number of tetramer+ cells","CD4","number",8,10808.7379409567,1
"TM",14,1289.81598203881,"Number of tetramer+ cells","CD4","number",8,10808.7379409567,0.119330858892546
"TM",28,1154.83636447211,"Number of tetramer+ cells","CD4","number",8,10808.7379409567,0.106842849811002
"TM",60,160.276540186915,"Number of tetramer+ cells","CD4","number",8,10808.7379409567,0.0148284231759929
"TMd21",8,4684.90095590491,"Number of tetramer+ cells","CD4","number",8,4684.90095590491,1
"TMd21",14,905.343646011769,"Number of tetramer+ cells","CD4","number",8,4684.90095590491,0.19324712614696
"TMd21",28,1097.32010579839,"Number of tetramer+ cells","CD4","number",8,4684.90095590491,0.234224824841883
"TMd21",60,197.951237933006,"Number of tetramer+ cells","CD4","number",8,4684.90095590491,0.0422530251538201
"IC",8,1.765,"PD-1+ CXCR5+ BCL6+ TFH (% tetramer)","CD4","percentage",8,1.765,1
"IC",14,0,"PD-1+ CXCR5+ BCL6+ TFH (% tetramer)","CD4","percentage",8,1.765,0
"IC",28,0,"PD-1+ CXCR5+ BCL6+ TFH (% tetramer)","CD4","percentage",8,1.765,0
"IC",60,0,"PD-1+ CXCR5+ BCL6+ TFH (% tetramer)","CD4","percentage",8,1.765,0
"SOL",8,30.6,"PD-1+ CXCR5+ BCL6+ TFH (% tetramer)","CD4","percentage",8,30.6,1
"SOL",14,11.39,"PD-1+ CXCR5+ BCL6+ TFH (% tetramer)","CD4","percentage",8,30.6,0.372222222222222
"SOL",28,10.275,"PD-1+ CXCR5+ BCL6+ TFH (% tetramer)","CD4","percentage",8,30.6,0.33578431372549
"SOL",60,1.73,"PD-1+ CXCR5+ BCL6+ TFH (% tetramer)","CD4","percentage",8,30.6,0.0565359477124183
"TM",8,53.95,"PD-1+ CXCR5+ BCL6+ TFH (% tetramer)","CD4","percentage",8,53.95,1
"TM",14,26.1,"PD-1+ CXCR5+ BCL6+ TFH (% tetramer)","CD4","percentage",8,53.95,0.483781278962002
"TM",28,14.65,"PD-1+ CXCR5+ BCL6+ TFH (% tetramer)","CD4","percentage",8,53.95,0.271547729379055
"TM",60,4.18,"PD-1+ CXCR5+ BCL6+ TFH (% tetramer)","CD4","percentage",8,53.95,0.0774791473586654
"TMd21",8,43.35,"PD-1+ CXCR5+ BCL6+ TFH (% tetramer)","CD4","percentage",8,43.35,1
"TMd21",14,30.7,"PD-1+ CXCR5+ BCL6+ TFH (% tetramer)","CD4","percentage",8,43.35,0.708189158016148
"TMd21",28,17.35,"PD-1+ CXCR5+ BCL6+ TFH (% tetramer)","CD4","percentage",8,43.35,0.400230680507497
"TMd21",60,10.415,"PD-1+ CXCR5+ BCL6+ TFH (% tetramer)","CD4","percentage",8,43.35,0.240253748558247
"IC",8,0.075,"Tetramer+  (% CD4)","CD4","percentage",8,0.075,1
"IC",14,0.0215,"Tetramer+  (% CD4)","CD4","percentage",8,0.075,0.286666666666667
"IC",28,0.0074,"Tetramer+  (% CD4)","CD4","percentage",8,0.075,0.0986666666666667
"IC",60,0.012,"Tetramer+  (% CD4)","CD4","percentage",8,0.075,0.16
"SOL",8,0.47,"Tetramer+  (% CD4)","CD4","percentage",8,0.47,1
"SOL",14,0.0625,"Tetramer+  (% CD4)","CD4","percentage",8,0.47,0.132978723404255
"SOL",28,0.0255,"Tetramer+  (% CD4)","CD4","percentage",8,0.47,0.0542553191489362
"SOL",60,0.0245,"Tetramer+  (% CD4)","CD4","percentage",8,0.47,0.0521276595744681
"TM",8,0.92,"Tetramer+  (% CD4)","CD4","percentage",8,0.92,1
"TM",14,0.13,"Tetramer+  (% CD4)","CD4","percentage",8,0.92,0.141304347826087
"TM",28,0.0595,"Tetramer+  (% CD4)","CD4","percentage",8,0.92,0.0646739130434782
"TM",60,0.0275,"Tetramer+  (% CD4)","CD4","percentage",8,0.92,0.0298913043478261
"TMd21",8,0.465,"Tetramer+  (% CD4)","CD4","percentage",8,0.465,1
"TMd21",14,0.083,"Tetramer+  (% CD4)","CD4","percentage",8,0.465,0.178494623655914
"TMd21",28,0.051,"Tetramer+  (% CD4)","CD4","percentage",8,0.465,0.109677419354839
"TMd21",60,0.0235,"Tetramer+  (% CD4)","CD4","percentage",8,0.465,0.0505376344086022
"IC",8,1713631.3974662,"Total cells in sample","CD4","number",8,1713631.3974662,1
"IC",14,2679643.66454099,"Total cells in sample","CD4","number",8,1713631.3974662,1.56372232004102
"IC",28,6568411.72143804,"Total cells in sample","CD4","number",8,1713631.3974662,3.83303651599182
"IC",60,2057432.49719885,"Total cells in sample","CD4","number",8,1713631.3974662,1.20062721787252
"SOL",8,2685644.41873842,"Total cells in sample","CD4","number",8,2685644.41873842,1
"SOL",14,2470556.34146875,"Total cells in sample","CD4","number",8,2685644.41873842,0.919911930347537
"SOL",28,7152930.51263704,"Total cells in sample","CD4","number",8,2685644.41873842,2.66339447721718
"SOL",60,1921790.86146347,"Total cells in sample","CD4","number",8,2685644.41873842,0.715579042428197
"TM",8,4338254.52087206,"Total cells in sample","CD4","number",8,4338254.52087206,1
"TM",14,2840646.471377,"Total cells in sample","CD4","number",8,4338254.52087206,0.654790182943435
"TM",28,5438569.02732883,"Total cells in sample","CD4","number",8,4338254.52087206,1.25363069436405
"TM",60,1770292.87152638,"Total cells in sample","CD4","number",8,4338254.52087206,0.40806570085024
"TMd21",8,3560861.19631902,"Total cells in sample","CD4","number",8,3560861.19631902,1
"TMd21",14,2600950.98670478,"Total cells in sample","CD4","number",8,3560861.19631902,0.730427512702115
"TMd21",28,6081271.52746991,"Total cells in sample","CD4","number",8,3560861.19631902,1.70780920462621
"TMd21",60,1929644.98337671,"Total cells in sample","CD4","number",8,3560861.19631902,0.541904016188964
"IC",8,5.575,"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","percentage",8,5.575,1
"IC",14,10.425,"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","percentage",8,5.575,1.86995515695067
"IC",28,16.1,"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","percentage",8,5.575,2.88789237668162
"IC",60,27.55,"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","percentage",8,5.575,4.94170403587444
"SOL",8,14.65,"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","percentage",8,14.65,1
"SOL",14,23.1,"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","percentage",8,14.65,1.57679180887372
"SOL",28,30.55,"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","percentage",8,14.65,2.08532423208191
"SOL",60,38.25,"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","percentage",8,14.65,2.61092150170649
"TM",8,8.885,"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","percentage",8,8.885,1
"TM",14,16,"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","percentage",8,8.885,1.80078784468205
"TM",28,14.2,"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","percentage",8,8.885,1.59819921215532
"TM",60,26.25,"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","percentage",8,8.885,2.95441755768149
"TMd21",8,8.575,"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","percentage",8,8.575,1
"TMd21",14,10.29,"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","percentage",8,8.575,1.2
"TMd21",28,22.1,"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","percentage",8,8.575,2.57725947521866
"TMd21",60,40.1,"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","percentage",8,8.575,4.67638483965015
"IC",8,8.265,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","percentage",8,8.265,1
"IC",14,8.92,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","percentage",8,8.265,1.07924984875983
"IC",28,16.6,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","percentage",8,8.265,2.00846944948578
"IC",60,20.7,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","percentage",8,8.265,2.50453720508167
"SOL",8,12.7,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","percentage",8,12.7,1
"SOL",14,21.3,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","percentage",8,12.7,1.67716535433071
"SOL",28,33.35,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","percentage",8,12.7,2.6259842519685
"SOL",60,32.2,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","percentage",8,12.7,2.53543307086614
"TM",8,8.64,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","percentage",8,8.64,1
"TM",14,10.1,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","percentage",8,8.64,1.16898148148148
"TM",28,17.15,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","percentage",8,8.64,1.9849537037037
"TM",60,25,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","percentage",8,8.64,2.89351851851852
"TMd21",8,8.75,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","percentage",8,8.75,1
"TMd21",14,9.455,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","percentage",8,8.75,1.08057142857143
"TMd21",28,23.95,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","percentage",8,8.75,2.73714285714286
"TMd21",60,38.55,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","percentage",8,8.75,4.40571428571429
"IC",8,98,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","percentage",8,98,1
"IC",14,90.6,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","percentage",8,98,0.924489795918367
"IC",28,98.25,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","percentage",8,98,1.00255102040816
"IC",60,97.7,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","percentage",8,98,0.996938775510204
"SOL",8,98,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","percentage",8,98,1
"SOL",14,93.6,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","percentage",8,98,0.955102040816326
"SOL",28,96.8,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","percentage",8,98,0.987755102040816
"SOL",60,98.6,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","percentage",8,98,1.00612244897959
"TM",8,97,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","percentage",8,97,1
"TM",14,87.9,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","percentage",8,97,0.906185567010309
"TM",28,97.85,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","percentage",8,97,1.00876288659794
"TM",60,97.75,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","percentage",8,97,1.00773195876289
"TMd21",8,97,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","percentage",8,97,1
"TMd21",14,85.15,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","percentage",8,97,0.877835051546392
"TMd21",28,100,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","percentage",8,97,1.03092783505155
"TMd21",60,95.85,"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","percentage",8,97,0.988144329896907
"IC",8,39.6,"CD127+ KLRG1- TCF1+ SLAMF6+ Tsl (% tetramer)","CD8","percentage",8,39.6,1
"IC",28,14.15,"CD127+ KLRG1- TCF1+ SLAMF6+ Tsl (% tetramer)","CD8","percentage",8,39.6,0.357323232323232
"SOL",8,55.7,"CD127+ KLRG1- TCF1+ SLAMF6+ Tsl (% tetramer)","CD8","percentage",8,55.7,1
"SOL",28,23.6,"CD127+ KLRG1- TCF1+ SLAMF6+ Tsl (% tetramer)","CD8","percentage",8,55.7,0.423698384201077
"TM",8,39.55,"CD127+ KLRG1- TCF1+ SLAMF6+ Tsl (% tetramer)","CD8","percentage",8,39.55,1
"TM",28,9.82,"CD127+ KLRG1- TCF1+ SLAMF6+ Tsl (% tetramer)","CD8","percentage",8,39.55,0.248293299620733
"TMd21",8,43.35,"CD127+ KLRG1- TCF1+ SLAMF6+ Tsl (% tetramer)","CD8","percentage",8,43.35,1
"TMd21",28,12.7,"CD127+ KLRG1- TCF1+ SLAMF6+ Tsl (% tetramer)","CD8","percentage",8,43.35,0.292964244521338
"IC",8,49.95,"CD127+ KLRG1- memory (% tetramer)","CD8","percentage",8,49.95,1
"IC",14,77.65,"CD127+ KLRG1- memory (% tetramer)","CD8","percentage",8,49.95,1.55455455455455
"IC",28,89,"CD127+ KLRG1- memory (% tetramer)","CD8","percentage",8,49.95,1.78178178178178
"IC",60,94.7,"CD127+ KLRG1- memory (% tetramer)","CD8","percentage",8,49.95,1.8958958958959
"SOL",8,46.1,"CD127+ KLRG1- memory (% tetramer)","CD8","percentage",8,46.1,1
"SOL",14,70.4,"CD127+ KLRG1- memory (% tetramer)","CD8","percentage",8,46.1,1.52711496746204
"SOL",28,86.3,"CD127+ KLRG1- memory (% tetramer)","CD8","percentage",8,46.1,1.87201735357918
"SOL",60,93.95,"CD127+ KLRG1- memory (% tetramer)","CD8","percentage",8,46.1,2.03796095444685
"TM",8,35.9,"CD127+ KLRG1- memory (% tetramer)","CD8","percentage",8,35.9,1
"TM",14,66.9,"CD127+ KLRG1- memory (% tetramer)","CD8","percentage",8,35.9,1.86350974930362
"TM",28,82.35,"CD127+ KLRG1- memory (% tetramer)","CD8","percentage",8,35.9,2.29387186629526
"TM",60,93.8,"CD127+ KLRG1- memory (% tetramer)","CD8","percentage",8,35.9,2.61281337047354
"TMd21",8,47.1,"CD127+ KLRG1- memory (% tetramer)","CD8","percentage",8,47.1,1
"TMd21",14,66.6,"CD127+ KLRG1- memory (% tetramer)","CD8","percentage",8,47.1,1.4140127388535
"TMd21",28,82.35,"CD127+ KLRG1- memory (% tetramer)","CD8","percentage",8,47.1,1.7484076433121
"TMd21",60,91.5,"CD127+ KLRG1- memory (% tetramer)","CD8","percentage",8,47.1,1.94267515923567
"IC",8,5.18,"CD127+ PD-1+ CXCR5+ KLRG1- TFH like (% tetramer)","CD8","percentage",8,5.18,1
"IC",60,4.32,"CD127+ PD-1+ CXCR5+ KLRG1- TFH like (% tetramer)","CD8","percentage",8,5.18,0.833976833976834
"SOL",8,10.13,"CD127+ PD-1+ CXCR5+ KLRG1- TFH like (% tetramer)","CD8","percentage",8,10.13,1
"SOL",60,5.66,"CD127+ PD-1+ CXCR5+ KLRG1- TFH like (% tetramer)","CD8","percentage",8,10.13,0.558736426456071
"TM",8,5.785,"CD127+ PD-1+ CXCR5+ KLRG1- TFH like (% tetramer)","CD8","percentage",8,5.785,1
"TM",60,1.495,"CD127+ PD-1+ CXCR5+ KLRG1- TFH like (% tetramer)","CD8","percentage",8,5.785,0.258426966292135
"TMd21",8,5.125,"CD127+ PD-1+ CXCR5+ KLRG1- TFH like (% tetramer)","CD8","percentage",8,5.125,1
"TMd21",60,1.725,"CD127+ PD-1+ CXCR5+ KLRG1- TFH like (% tetramer)","CD8","percentage",8,5.125,0.336585365853659
"IC",8,2.52,"CD127+ TCF1+ SLAMF6+ CD62L+ Tscm (% tetramer)","CD8","percentage",8,2.52,1
"SOL",8,14.35,"CD127+ TCF1+ SLAMF6+ CD62L+ Tscm (% tetramer)","CD8","percentage",8,14.35,1
"TM",8,6.48,"CD127+ TCF1+ SLAMF6+ CD62L+ Tscm (% tetramer)","CD8","percentage",8,6.48,1
"TMd21",8,6.25,"CD127+ TCF1+ SLAMF6+ CD62L+ Tscm (% tetramer)","CD8","percentage",8,6.25,1
"IC",8,13.5,"CD62L+ CX3CR1- TCM (% memory)","CD8","percentage",8,13.5,1
"IC",14,13.35,"CD62L+ CX3CR1- TCM (% memory)","CD8","percentage",8,13.5,0.988888888888889
"IC",28,17.85,"CD62L+ CX3CR1- TCM (% memory)","CD8","percentage",8,13.5,1.32222222222222
"IC",60,28.85,"CD62L+ CX3CR1- TCM (% memory)","CD8","percentage",8,13.5,2.13703703703704
"SOL",8,26.7,"CD62L+ CX3CR1- TCM (% memory)","CD8","percentage",8,26.7,1
"SOL",14,32.4,"CD62L+ CX3CR1- TCM (% memory)","CD8","percentage",8,26.7,1.21348314606742
"SOL",28,36.35,"CD62L+ CX3CR1- TCM (% memory)","CD8","percentage",8,26.7,1.36142322097378
"SOL",60,42.5,"CD62L+ CX3CR1- TCM (% memory)","CD8","percentage",8,26.7,1.59176029962547
"TM",8,24.8,"CD62L+ CX3CR1- TCM (% memory)","CD8","percentage",8,24.8,1
"TM",14,22.5,"CD62L+ CX3CR1- TCM (% memory)","CD8","percentage",8,24.8,0.907258064516129
"TM",28,15.5,"CD62L+ CX3CR1- TCM (% memory)","CD8","percentage",8,24.8,0.625
"TM",60,29.1,"CD62L+ CX3CR1- TCM (% memory)","CD8","percentage",8,24.8,1.17338709677419
"TMd21",8,20.05,"CD62L+ CX3CR1- TCM (% memory)","CD8","percentage",8,20.05,1
"TMd21",14,18.8,"CD62L+ CX3CR1- TCM (% memory)","CD8","percentage",8,20.05,0.937655860349127
"TMd21",28,29.4,"CD62L+ CX3CR1- TCM (% memory)","CD8","percentage",8,20.05,1.46633416458853
"TMd21",60,44.75,"CD62L+ CX3CR1- TCM (% memory)","CD8","percentage",8,20.05,2.23192019950125
"IC",8,8.525,"CD62L- CX3CR1hi TEM (% memory)","CD8","percentage",8,8.525,1
"IC",14,12.8,"CD62L- CX3CR1hi TEM (% memory)","CD8","percentage",8,8.525,1.50146627565982
"IC",28,19.55,"CD62L- CX3CR1hi TEM (% memory)","CD8","percentage",8,8.525,2.29325513196481
"IC",60,18.25,"CD62L- CX3CR1hi TEM (% memory)","CD8","percentage",8,8.525,2.14076246334311
"SOL",8,4.195,"CD62L- CX3CR1hi TEM (% memory)","CD8","percentage",8,4.195,1
"SOL",14,5.655,"CD62L- CX3CR1hi TEM (% memory)","CD8","percentage",8,4.195,1.34803337306317
"SOL",28,8.8,"CD62L- CX3CR1hi TEM (% memory)","CD8","percentage",8,4.195,2.09773539928486
"SOL",60,10.17,"CD62L- CX3CR1hi TEM (% memory)","CD8","percentage",8,4.195,2.42431466030989
"TM",8,7.175,"CD62L- CX3CR1hi TEM (% memory)","CD8","percentage",8,7.175,1
"TM",14,13.7,"CD62L- CX3CR1hi TEM (% memory)","CD8","percentage",8,7.175,1.90940766550523
"TM",28,19.4,"CD62L- CX3CR1hi TEM (% memory)","CD8","percentage",8,7.175,2.70383275261324
"TM",60,20.1,"CD62L- CX3CR1hi TEM (% memory)","CD8","percentage",8,7.175,2.801393728223
"TMd21",8,6.135,"CD62L- CX3CR1hi TEM (% memory)","CD8","percentage",8,6.135,1
"TMd21",14,11.15,"CD62L- CX3CR1hi TEM (% memory)","CD8","percentage",8,6.135,1.81744091279544
"TMd21",28,14.8,"CD62L- CX3CR1hi TEM (% memory)","CD8","percentage",8,6.135,2.41238793806031
"TMd21",60,12.75,"CD62L- CX3CR1hi TEM (% memory)","CD8","percentage",8,6.135,2.07823960880196
"IC",8,4.055,"CD62L- CX3CR1hi TEM (% tetramer)","CD8","percentage",8,4.055,1
"IC",14,9.69,"CD62L- CX3CR1hi TEM (% tetramer)","CD8","percentage",8,4.055,2.38964241676942
"IC",28,17,"CD62L- CX3CR1hi TEM (% tetramer)","CD8","percentage",8,4.055,4.19235511713933
"IC",60,17.7,"CD62L- CX3CR1hi TEM (% tetramer)","CD8","percentage",8,4.055,4.36498150431566
"SOL",8,1.79,"CD62L- CX3CR1hi TEM (% tetramer)","CD8","percentage",8,1.79,1
"SOL",14,3.875,"CD62L- CX3CR1hi TEM (% tetramer)","CD8","percentage",8,1.79,2.16480446927374
"SOL",28,7.69,"CD62L- CX3CR1hi TEM (% tetramer)","CD8","percentage",8,1.79,4.29608938547486
"SOL",60,9.775,"CD62L- CX3CR1hi TEM (% tetramer)","CD8","percentage",8,1.79,5.4608938547486
"TM",8,2.49,"CD62L- CX3CR1hi TEM (% tetramer)","CD8","percentage",8,2.49,1
"TM",14,8.09,"CD62L- CX3CR1hi TEM (% tetramer)","CD8","percentage",8,2.49,3.24899598393574
"TM",28,16.4,"CD62L- CX3CR1hi TEM (% tetramer)","CD8","percentage",8,2.49,6.5863453815261
"TM",60,17.75,"CD62L- CX3CR1hi TEM (% tetramer)","CD8","percentage",8,2.49,7.1285140562249
"TMd21",8,2.915,"CD62L- CX3CR1hi TEM (% tetramer)","CD8","percentage",8,2.915,1
"TMd21",14,7.11,"CD62L- CX3CR1hi TEM (% tetramer)","CD8","percentage",8,2.915,2.43910806174957
"TMd21",28,12.55,"CD62L- CX3CR1hi TEM (% tetramer)","CD8","percentage",8,2.915,4.30531732418525
"TMd21",60,11.5,"CD62L- CX3CR1hi TEM (% tetramer)","CD8","percentage",8,2.915,3.9451114922813
"IC",8,29.65,"CD8 T cells (% of live lymphocytes)","CD8","percentage",8,29.65,1
