"Vaccine","Day","Median","Measurement_type","Cell_Type","Unit","baseline_Day","baseline_Median","Normalized"
"SOL",14,69.45,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage",8,86.55,0.802426343154246
"SOL",28,59.1,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage",8,86.55,0.682842287694974
"SOL",60,56.5,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage",8,86.55,0.652801848642403
"TM",8,89.95,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage",8,89.95,1
"TM",14,85.25,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage",8,89.95,0.94774874930517
"TM",28,70.9,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage",8,89.95,0.788215675375209
"TM",60,61.8,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage",8,89.95,0.687048360200111
"TMd21",8,84.1,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage",8,84.1,1
"TMd21",14,80.1,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage",8,84.1,0.95243757431629
"TMd21",28,75.7,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage",8,84.1,0.900118906064209
"TMd21",60,71.8,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage",8,84.1,0.853745541022592
"IC",8,33.75,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage",8,33.75,1
"IC",14,20,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage",8,33.75,0.592592592592593
"IC",28,0,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage",8,33.75,0
"IC",60,16.65,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage",8,33.75,0.493333333333333
"SOL",8,72.85,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage",8,72.85,1
"SOL",14,53.35,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage",8,72.85,0.732326698695951
"SOL",28,10.55,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage",8,72.85,0.144818119423473
"SOL",60,50.8,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage",8,72.85,0.69732326698696
"TM",8,81.45,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage",8,81.45,1
"TM",14,74.75,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage",8,81.45,0.917740945365255
"TM",28,32.1,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage",8,81.45,0.394106813996317
"TM",60,55.75,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage",8,81.45,0.684468999386126
"TMd21",8,64.2,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage",8,64.2,1
"TMd21",14,54.7,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage",8,64.2,0.85202492211838
"TMd21",28,36.65,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage",8,64.2,0.570872274143302
"TMd21",60,22.2,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage",8,64.2,0.345794392523364
"IC",8,2.265,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage",8,2.265,1
"IC",14,1.355,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage",8,2.265,0.598233995584989
"IC",28,0,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage",8,2.265,0
"IC",60,1.065,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage",8,2.265,0.470198675496689
"SOL",8,3.38,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage",8,3.38,1
"SOL",14,4.485,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage",8,3.38,1.32692307692308
"SOL",28,1.14,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage",8,3.38,0.337278106508876
"SOL",60,5.12,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage",8,3.38,1.51479289940828
"TM",8,2.085,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage",8,2.085,1
"TM",14,3.06,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage",8,2.085,1.46762589928058
"TM",28,2.815,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage",8,2.085,1.35011990407674
"TM",60,4.055,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage",8,2.085,1.94484412470024
"TMd21",8,2.41,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage",8,2.41,1
"TMd21",14,1.73,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage",8,2.41,0.717842323651452
"TMd21",28,2.925,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage",8,2.41,1.21369294605809
"TMd21",60,1.495,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage",8,2.41,0.620331950207469
