"Measurement_type","Cell_Type","Vaccine","Day","Median_fold_change"
"PD-1+ CXCR5+ BCL6+ TFH (% tetramer)","CD4","TM",28,1
"PD-1+ CXCR5+ BCL6+ TFH (% tetramer)","CD4","TM",60,1
"PD-1+ CXCR5+ BCL6+ TFH (% tetramer)","CD4","TMd21",8,1
"PD-1+ CXCR5+ BCL6+ TFH (% tetramer)","CD4","TMd21",14,1
"PD-1+ CXCR5+ BCL6+ TFH (% tetramer)","CD4","TMd21",28,1
"PD-1+ CXCR5+ BCL6+ TFH (% tetramer)","CD4","TMd21",60,1
"PD-1+ CXCR5+ TFH like (% memory)","CD8","IC",8,1
"PD-1+ CXCR5+ TFH like (% memory)","CD8","IC",60,1
"PD-1+ CXCR5+ TFH like (% memory)","CD8","SOL",8,1
"PD-1+ CXCR5+ TFH like (% memory)","CD8","SOL",60,1
"PD-1+ CXCR5+ TFH like (% memory)","CD8","TM",8,1
"PD-1+ CXCR5+ TFH like (% memory)","CD8","TM",60,1
"PD-1+ CXCR5+ TFH like (% memory)","CD8","TMd21",8,1
"PD-1+ CXCR5+ TFH like (% memory)","CD8","TMd21",60,1
"PD-1+ CXCR5+ TFH like (% tetramer)","CD8","IC",8,1
"PD-1+ CXCR5+ TFH like (% tetramer)","CD8","IC",14,1
"PD-1+ CXCR5+ TFH like (% tetramer)","CD8","IC",28,1
"PD-1+ CXCR5+ TFH like (% tetramer)","CD8","IC",60,1
"PD-1+ CXCR5+ TFH like (% tetramer)","CD8","SOL",8,1
"PD-1+ CXCR5+ TFH like (% tetramer)","CD8","SOL",14,1
"PD-1+ CXCR5+ TFH like (% tetramer)","CD8","SOL",28,1
"PD-1+ CXCR5+ TFH like (% tetramer)","CD8","SOL",60,1
"PD-1+ CXCR5+ TFH like (% tetramer)","CD8","TM",8,1
"PD-1+ CXCR5+ TFH like (% tetramer)","CD8","TM",14,1
"PD-1+ CXCR5+ TFH like (% tetramer)","CD8","TM",28,1
"PD-1+ CXCR5+ TFH like (% tetramer)","CD8","TM",60,1
"PD-1+ CXCR5+ TFH like (% tetramer)","CD8","TMd21",8,1
"PD-1+ CXCR5+ TFH like (% tetramer)","CD8","TMd21",14,1
"PD-1+ CXCR5+ TFH like (% tetramer)","CD8","TMd21",28,1
"PD-1+ CXCR5+ TFH like (% tetramer)","CD8","TMd21",60,1
"TCF1+ SLAMF6+ Tscm (% TCM)","CD8","IC",60,1
"TCF1+ SLAMF6+ Tscm (% TCM)","CD8","SOL",60,1
"TCF1+ SLAMF6+ Tscm (% TCM)","CD8","TM",60,1
"TCF1+ SLAMF6+ Tscm (% TCM)","CD8","TMd21",60,1
"TCF1+ SLAMF6+ Tsl (% memory)","CD8","IC",8,1
"TCF1+ SLAMF6+ Tsl (% memory)","CD8","IC",28,1
"TCF1+ SLAMF6+ Tsl (% memory)","CD8","SOL",8,1
"TCF1+ SLAMF6+ Tsl (% memory)","CD8","SOL",28,1
"TCF1+ SLAMF6+ Tsl (% memory)","CD8","TM",8,1
"TCF1+ SLAMF6+ Tsl (% memory)","CD8","TM",28,1
"TCF1+ SLAMF6+ Tsl (% memory)","CD8","TMd21",8,1
"TCF1+ SLAMF6+ Tsl (% memory)","CD8","TMd21",28,1
"Tetramer+  (% CD4)","CD4","IC",8,1
"Tetramer+  (% CD4)","CD4","IC",14,1
"Tetramer+  (% CD4)","CD4","IC",28,1
"Tetramer+  (% CD4)","CD4","IC",60,1
"Tetramer+  (% CD4)","CD4","SOL",8,1
"Tetramer+  (% CD4)","CD4","SOL",14,1
"Tetramer+  (% CD4)","CD4","SOL",28,1
"Tetramer+  (% CD4)","CD4","SOL",60,1
"Tetramer+  (% CD4)","CD4","TM",8,1
"Tetramer+  (% CD4)","CD4","TM",14,1
"Tetramer+  (% CD4)","CD4","TM",28,1
"Tetramer+  (% CD4)","CD4","TM",60,1
"Tetramer+  (% CD4)","CD4","TMd21",8,1
"Tetramer+  (% CD4)","CD4","TMd21",14,1
"Tetramer+  (% CD4)","CD4","TMd21",28,1
"Tetramer+  (% CD4)","CD4","TMd21",60,1
"Tetramer+ (% CD8 T cells)","CD8","IC",14,1
"Tetramer+ (% CD8 T cells)","CD8","SOL",14,1
"Tetramer+ (% CD8 T cells)","CD8","TM",14,1
"Tetramer+ (% CD8 T cells)","CD8","TMd21",14,1
"Tetramer+ (% of CD8)","CD8","IC",8,1
"Tetramer+ (% of CD8)","CD8","IC",14,1
"Tetramer+ (% of CD8)","CD8","IC",28,1
"Tetramer+ (% of CD8)","CD8","IC",60,1
"Tetramer+ (% of CD8)","CD8","SOL",8,1
"Tetramer+ (% of CD8)","CD8","SOL",14,1
"Tetramer+ (% of CD8)","CD8","SOL",28,1
"Tetramer+ (% of CD8)","CD8","SOL",60,1
"Tetramer+ (% of CD8)","CD8","TM",8,1
"Tetramer+ (% of CD8)","CD8","TM",14,1
"Tetramer+ (% of CD8)","CD8","TM",28,1
"Tetramer+ (% of CD8)","CD8","TM",60,1
"Tetramer+ (% of CD8)","CD8","TMd21",8,1
"Tetramer+ (% of CD8)","CD8","TMd21",14,1
"Tetramer+ (% of CD8)","CD8","TMd21",28,1
"Tetramer+ (% of CD8)","CD8","TMd21",60,1
"Total cells in sample","CD4","IC",8,1
"Total cells in sample","CD4","IC",14,1
"Total cells in sample","CD4","IC",28,1
"Total cells in sample","CD4","IC",60,1
"Total cells in sample","CD4","SOL",8,1
"Total cells in sample","CD4","SOL",14,1
"Total cells in sample","CD4","SOL",28,1
"Total cells in sample","CD4","SOL",60,1
"Total cells in sample","CD4","TM",8,1
"Total cells in sample","CD4","TM",14,1
"Total cells in sample","CD4","TM",28,1
"Total cells in sample","CD4","TM",60,1
"Total cells in sample","CD4","TMd21",8,1
"Total cells in sample","CD4","TMd21",14,1
"Total cells in sample","CD4","TMd21",28,1
"Total cells in sample","CD4","TMd21",60,1
"Total sample vol (µL)","CD8","IC",8,1
"Total sample vol (µL)","CD8","IC",14,1
"Total sample vol (µL)","CD8","IC",28,1
"Total sample vol (µL)","CD8","IC",60,1
"Total sample vol (µL)","CD8","SOL",8,1
"Total sample vol (µL)","CD8","SOL",14,1
"Total sample vol (µL)","CD8","SOL",28,1
"Total sample vol (µL)","CD8","SOL",60,1
"Total sample vol (µL)","CD8","TM",8,1
"Total sample vol (µL)","CD8","TM",14,1
"Total sample vol (µL)","CD8","TM",28,1
"Total sample vol (µL)","CD8","TM",60,1
"Total sample vol (µL)","CD8","TMd21",8,1
"Total sample vol (µL)","CD8","TMd21",14,1
"Total sample vol (µL)","CD8","TMd21",28,1
"Total sample vol (µL)","CD8","TMd21",60,1
